epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,410.441,0.86534,0.45776,0.96655,0.95863,0.98913,0.98744,0.87688,0.56756,0.28088,0.89584,0.0005348,0.0005348,0.0005348
76,415.832,0.86197,0.45873,0.95936,0.97683,0.97826,0.98713,0.87227,0.56562,0.28842,0.88977,0.000515,0.000515,0.000515
77,421.068,0.82665,0.42852,0.95054,0.97771,0.97826,0.98689,0.87929,0.56334,0.28252,0.88527,0.0004952,0.0004952,0.0004952
78,426.678,0.83242,0.43094,0.94658,0.96734,0.9659,0.98687,0.86849,0.57313,0.28099,0.89718,0.0004754,0.0004754,0.0004754
79,431.903,0.85495,0.43978,0.95313,0.99409,0.97826,0.98811,0.87438,0.54405,0.27165,0.8825,0.0004556,0.0004556,0.0004556
80,437.292,0.81681,0.42137,0.94336,0.95947,0.97826,0.98444,0.86831,0.5863,0.28323,0.89849,0.0004358,0.0004358,0.0004358
81,442.566,0.82487,0.4246,0.94652,0.989,0.97725,0.98764,0.87745,0.56419,0.28074,0.88716,0.000416,0.000416,0.000416
82,447.879,0.81606,0.42739,0.94092,0.92558,0.98913,0.98006,0.87118,0.56221,0.29146,0.88972,0.0003962,0.0003962,0.0003962
83,453.078,0.82589,0.42598,0.94275,0.99929,0.98913,0.98879,0.89311,0.52753,0.25493,0.873,0.0003764,0.0003764,0.0003764
84,458.747,0.82458,0.41764,0.93344,0.98249,0.97826,0.98805,0.87468,0.56168,0.26388,0.88442,0.0003566,0.0003566,0.0003566
85,463.97,0.82273,0.4206,0.9523,0.98838,0.97826,0.9933,0.88284,0.54569,0.2695,0.88456,0.0003368,0.0003368,0.0003368
86,469.31,0.82566,0.414,0.94576,0.99463,0.98913,0.99448,0.87925,0.56899,0.26399,0.88627,0.000317,0.000317,0.000317
87,474.522,0.79649,0.40731,0.94185,0.9889,0.96857,0.99187,0.88917,0.54416,0.26673,0.87786,0.0002972,0.0002972,0.0002972
88,479.684,0.82237,0.41825,0.94177,0.98694,0.98913,0.9899,0.88205,0.56711,0.25768,0.88913,0.0002774,0.0002774,0.0002774
89,484.928,0.81133,0.40072,0.94574,0.98896,0.97333,0.99375,0.88125,0.56611,0.26211,0.88632,0.0002576,0.0002576,0.0002576
90,490.3,0.81262,0.41087,0.93425,0.98907,0.98396,0.99417,0.89138,0.53874,0.25654,0.88151,0.0002378,0.0002378,0.0002378
91,496.364,0.84191,0.40341,0.93889,0.9891,0.98643,0.98892,0.87812,0.56834,0.26766,0.88926,0.000218,0.000218,0.000218
92,501.287,0.81949,0.39173,0.92899,0.99836,0.98913,0.98948,0.89189,0.53347,0.25566,0.87647,0.0001982,0.0001982,0.0001982
93,506.21,0.82337,0.38679,0.93262,0.98908,0.98498,0.98957,0.8897,0.54887,0.26092,0.88087,0.0001784,0.0001784,0.0001784
94,511.165,0.80969,0.38592,0.92928,0.98912,0.98818,0.98921,0.87611,0.57364,0.26224,0.88888,0.0001586,0.0001586,0.0001586
95,516.167,0.81683,0.38249,0.93243,1,0.97595,0.99426,0.88227,0.55404,0.25025,0.88394,0.0001388,0.0001388,0.0001388
96,521.099,0.80851,0.36981,0.92443,0.9988,0.97826,0.99417,0.88972,0.53321,0.25463,0.87494,0.000119,0.000119,0.000119
97,526.512,0.79888,0.37342,0.92341,0.98912,0.98787,0.99417,0.89078,0.54725,0.24938,0.87812,9.92e-05,9.92e-05,9.92e-05
98,531.39,0.79569,0.37195,0.923,1,0.97645,0.99209,0.88902,0.54623,0.26003,0.87773,7.94e-05,7.94e-05,7.94e-05
99,536.334,0.7961,0.36956,0.92101,0.98912,0.98816,0.99333,0.88838,0.54705,0.25459,0.87743,5.96e-05,5.96e-05,5.96e-05
100,541.327,0.78073,0.36806,0.91792,0.99764,0.97826,0.99323,0.8932,0.53778,0.25295,0.87348,3.98e-05,3.98e-05,3.98e-05
